species,words
Ailanthus altissima," Because the trees exhibit rapid growth for the first few years, the trunk has uneven texture between the inner and outer wood, which can cause the wood to twist or crack during drying"
Ailanthus altissima," Techniques have been developed for drying the wood so as to prevent this cracking, allowing it to be commercially harvested"
Ailanthus altissima," Although the live tree tends to have very flexible wood, the wood is quite hard once properly dried"
Ailanthus altissima,"


=== Cultivation ===
Tree of heaven is a popular ornamental tree in China and valued for its tolerance of difficult growing conditions"
Ailanthus altissima," It was once very popular in cultivation in both Europe and North America, but this popularity dropped, especially in the United States, due to the disagreeable odor of its blossoms and the weediness of its habit"
Ailanthus altissima," The problem of odor was previously avoided by only selling pistillate plants since only males produce the smell, but a higher seed production also results"
Ailanthus altissima," Michael Dirr, a noted American horticulturalist and professor at the University of Georgia, reported meeting, in 1982, a grower who could not find any buyers"
Ailanthus altissima," He further writes (his emphasis): For most landscaping conditions, it has no value as there are too many trees of superior quality; for impossible conditions this tree has a place; selection could be made for good habit, strong wood and better foliage which would make the tree more satisfactory; I once talked with an architect who tried to buy Ailanthus for use along polluted highways but could not find an adequate supply ["
Ailanthus altissima,
Ailanthus altissima,
Ailanthus altissima,"]

In Europe, however, the tree is still used in the garden to some degree as its habit is generally not as invasive as it is in America"
Ailanthus altissima," In the United Kingdom it is especially common in London squares, streets, and parks, though it is also frequently found in gardens of southern England and East Anglia"
Ailanthus altissima," It becomes rare in the north, occurring only infrequently in southern Scotland"
Ailanthus altissima, It is also rare in Ireland
Ailanthus altissima, In Germany the tree is commonly planted in gardens
Ailanthus altissima," The tree has furthermore become unpopular in cultivation in the west because it is short-lived and that the trunk soon becomes hollow, making trees more than two feet in diameter unstable in high winds"
Ailanthus altissima,"A few cultivars exist, but they are not often sold outside of China and probably not at all in North America:

‘Hongye’ – The name is Chinese and means ""red leaves"""
Ailanthus altissima," As the name implies it has attractive vivid red foliage
‘Thousand Leaders’
‘Metro’ – A male cultivar with a tighter crown than usual and a less weedy habit
‘Erythrocarpa’ – The fruits are a striking red
‘Pendulifolia’ – Leaves are much longer and hang elegantly


=== Traditional medicine ===
Nearly every part of A"
Ailanthus altissima, altissima has some application in Chinese traditional medicine
Ailanthus altissima," One of the oldest recipes, recorded in a work from AD 732, is used for treating mental illness"
Ailanthus altissima," It involved chopped root material, young boys' urine and douchi"
Ailanthus altissima," After sitting for a day, the liquid was strained out and given to an ill person over the course of several days"
Ailanthus altissima,"Another source from 684 AD, during the Tang dynasty and recorded in Li Shizhen's Compendium of Materia Medica, states that when the leaves are taken internally, they make one incoherent and sleepy, while when used externally, they can be effectively used to treat boils, abscesses and itches"
Ailanthus altissima," This formula calls for young leaves of ailanthus, catalpa and peach tree to be crushed together and the resulting liquid applied to the scalp to stimulate hair growth"
Ailanthus altissima,"The dried bark, however, is listed in the modern Chinese materia medica as chun bai pi (Chinese: 椿白皮; pinyin: chūnbáipí), meaning ""white bark of spring"""
Ailanthus altissima," Modern works treat it in detail, discussing chemical constituents, how to identify the product and its possible uses"
Ailanthus altissima," It is prepared by felling the tree in fall or spring, stripping the bark and then scraping off the hardest, outermost portion, which is then sun-dried, soaked in water, partially re-dried in a basket and finally cut into strips"
Ailanthus altissima, The bark is said to have cooling and astringent properties
Ailanthus altissima," It is only prescribed in amounts between 4 and 10 grams, so as not to poison people"
Ailanthus altissima, Li's Compendium has 18 recipes that call for the bark
Ailanthus altissima, A tincture of the root-bark has been claimed to have been used successfully by American herbalists in the 19th century
Ailanthus altissima," It contains phytochemicals, such as quassin and saponin, and ailanthone"
Ailanthus altissima, It is available in most shops dealing in Chinese traditional medicine
Ailanthus altissima," The samaras are also used in modern Chinese medicine under the name feng yan cao (simplified Chinese: 凤眼草; traditional Chinese: 鳳眼草; pinyin: fèngyǎncǎo), meaning ""herbal phoenix eye"""
Ailanthus altissima,The plant may be mildly toxic
Ailanthus altissima," The noxious odours have been associated with nausea and headaches, as well as with contact dermatitis reported in both humans and sheep, which developed weakness and paralysis"
Ailanthus altissima," It contains a quinone irritant, 2,6-dimethoxybenzoquinone, as well as quassinoids"
Ailanthus altissima,"


== Culture ==


=== China ===
In addition to the tree of heaven's various uses, it has also been a part of Chinese culture for many centuries and has more recently attained a similar status in the west"
Ailanthus altissima," Within the oldest extant Chinese dictionary, the Erya, written in the 3rd century BC, the tree of heaven is mentioned second among a list of trees"
Ailanthus altissima, It was mentioned again in a materia medica compiled during the Tang dynasty in 656 AD
Ailanthus altissima," Each work favoured a different character, however, and there is still some debate in the Chinese botanical community as to which character should be used"
Ailanthus altissima," The current name, chouchun (Chinese: 臭椿; pinyin: chòuchūn), means ""stinking spring"", and is a relatively new appellation"
Ailanthus altissima," People living near the lower Yellow River know it by the name chunshu (simplified Chinese: 椿树; traditional Chinese: 椿樹; pinyin: chūnshù), meaning ""spring tree"""
Ailanthus altissima, The name stems from the fact that A
Ailanthus altissima," altissima is one of the last trees to come out of dormancy, and as such its leaves coming out would indicate that winter was truly over"
Ailanthus altissima,"In Chinese literature, ailanthus is often used for two rather extreme metaphors, with a mature tree representing a father and a stump being a spoiled child"
Ailanthus altissima," This manifests itself occasionally when expressing best wishes to a friend's father and mother in a letter, where one can write ""wishing your ailanthus and daylily are strong and happy"", with ailanthus metaphorically referring to the father and daylily to the mother"
Ailanthus altissima," Furthermore, one can scold a child by calling him a ""good-for-nothing ailanthus stump sprout"", meaning the child is irresponsible"
Ailanthus altissima," This derives from the literature of Zhuangzi, a Taoist philosopher, who referred to a tree that had developed from a sprout at the stump and was thus unsuitable for carpentry due to its irregular shape"
Ailanthus altissima," Later scholars associated this tree with ailanthus and applied the metaphor to children who, like stump sprouts of the tree, will not develop into a worthwhile human being if they don't follow rules or traditions"
Ailanthus altissima,"


=== United States ===
The 1943 book A Tree Grows in Brooklyn by Betty Smith uses the tree of heaven as its central metaphor, using it as an analogy for the ability to thrive in a difficult environment"
Ailanthus altissima," At that time as well as now, ailanthus was common in neglected urban areas"
Ailanthus altissima, She writes:There's a tree that grows in Brooklyn
Ailanthus altissima, Some people call it the Tree of Heaven
Ailanthus altissima," No matter where its seed falls, it makes a tree which struggles to reach the sky"
Ailanthus altissima, It grows in boarded up lots and out of neglected rubbish heaps
Ailanthus altissima, It grows up out of cellar gratings
Ailanthus altissima, It is the only tree that grows out of cement
Ailanthus altissima, It grows lushly
Ailanthus altissima,
Ailanthus altissima,
Ailanthus altissima,"survives without sun, water, and seemingly earth"
Ailanthus altissima, It would be considered beautiful except that there are too many of it
Ailanthus altissima,"

In William Faulkner's novel, Sanctuary, a ""heaven-tree"" stands outside the Jefferson jail, where Lee Goodwin and a ""negro murderer"" are incarcerated"
Ailanthus altissima, The tree is associated with the black prisoner's despair in the face of his impending execution and the spirituals that he sings in chorus with other black people who keep a sort of vigil in the street below:
Ailanthus altissima,
Ailanthus altissima,
Ailanthus altissima,"they sang spirituals while white people slowed and stopped in the leafed darkness that was almost summer, to listen to those who were sure to die and him who was already dead singing about heaven and being tired; or perhaps in the interval between songs a rich, sourceless voice coming out of the high darkness where the ragged shadow of the heaven-tree which snooded the street lamp at the corner fretted and mourned: ""Fo days mo! Den dey ghy stroy de bes ba'yton singer in nawth Mississippi!""
Upon the barred and slitted wall the splotched shadow of the heaven-tree shuddered and pulsed monstrously in scarce any wind; rich and sad, the singing fell behind"
Ailanthus altissima,"In the 2013 book Teardown: Memoir of a Vanishing City by journalist Gordon Young, the tree is referenced in a description of the Carriage Town neighborhood in Flint, Michigan"
Ailanthus altissima,"Festive Victorian-era homes in various stages of restoration battled for supremacy with boarded-up firetraps and overgrown lots landscaped with weeds, garbage, and “ghetto palms,” a particularly hardy invasive species known more formally as Ailanthus altissima, or the tree of heaven, perhaps because only God can kill the things"
Ailanthus altissima," Around the corner, business was brisk at a drug house where residents and customers alike weren’t above casually taking a piss in the driveway"
Ailanthus altissima,"
Ailanthus is also sometimes counter-nicknamed ""tree from hell"" due to its prolific invasiveness and the difficulty in eradicating it"
Ailanthus altissima," In certain parts of the United States, the species has been nicknamed the ""ghetto palm"" because of its propensity for growing in the inhospitable conditions of urban areas, or on abandoned and poorly maintained properties, such as in war-torn Afghanistan"
Ailanthus altissima,"Until March 26, 2008, a 60-foot (18 m)-tall member of the species was a prominent ""centerpiece"" of the sculpture garden at the Noguchi Museum in the Astoria section in the borough of Queens in New York City"
Ailanthus altissima, The tree had been spared by the sculptor Isamu Noguchi when in 1975 he bought the building which would become the museum and cleaned up its back lot
Ailanthus altissima," The tree was the only one he left in the yard, and the staff would eat lunch with Noguchi under it"
Ailanthus altissima," ""[I]n a sense, the sculpture garden was designed around the tree"", said a former aide to Noguchi, Bonnie Rychlak, who later became the museum curator"
Ailanthus altissima," By 2008, the old tree was found to be dying and in danger of crashing into the building, which was about to undergo a major renovation"
Ailanthus altissima," The museum hired the Detroit Tree of Heaven Woodshop, an artists' collective, to use the wood to create benches, sculptures and other amenities in and around the building"
Ailanthus altissima," The tree's rings were counted, revealing its age to be 75, and museum officials hoped it would regenerate from a sucker"
Ailanthus altissima,"


=== Europe ===
Ingo Vetter, a German artist and professor of fine arts at Umeå University in Sweden, was influenced by the idea of the ""ghetto palm"" and installed a living ailanthus tree taken from Detroit for an international art show called Shrinking Cities at the Kunst-Werke Institute for Contemporary Art in Berlin in 2004"
Ailanthus altissima,"


== Notes ==


== References ==


== External links ==
U"
Ailanthus altissima,S
Ailanthus altissima," Forest Service Fire Effects Information System: Ailantus altissima
National Invasive Species Information Center: species profile of Ailanthus altissima (Tree of Heaven), United States National Agricultural Library
National Park Service, Plant Conservation Alliance, Alien Plant Working Group: Tree of Heaven (Ailanthus altissima) report
Calflora Database: Ailanthus altissima (Tree of Heaven, Ailanthus) — introduced invasive species"
Ailanthus altissima,"
Cal-IPC/California Invasive Plant Council: plant profile of Ailanthus altissima
Ailanthus altissima in the CalPhotos Photo Database, University of California, Berkeley"
Amelanchier canadensis,"Amelanchier canadensis (bilberry, Canadian serviceberry, chuckle-berry, currant-tree, juneberry, shad-blow serviceberry, shad-blow, shadbush, shadbush serviceberry, sugarplum, thicket serviceberry) is a species of Amelanchier native to eastern North America in Canada from Newfoundland west to southern Ontario, and in the United States from Maine south to Alabama"
Amelanchier canadensis," It is largely restricted to wet sites, particularly on the Atlantic coastal plain, growing at altitudes from sea level up to 200 m"
Amelanchier canadensis,"


== Growth ==
It is a deciduous shrub or small tree growing to 0"
Amelanchier canadensis,"5–8 m tall with one to many stems and a narrow, fastigiate crown"
Amelanchier canadensis," The leaves are alternate, simple, ovate to ovate-oblong, 1–5"
Amelanchier canadensis,5 cm long and 1
Amelanchier canadensis,8–2
Amelanchier canadensis,"8 cm broad with a rounded to sub-acute apex; they are downy below, and have a serrated margin and an 8–15 mm petiole"
Amelanchier canadensis," 
The flowers are produced in early spring in loose racemes 4–6 cm long at the ends of the branches; each raceme has four to ten flowers"
Amelanchier canadensis, The flower has five white petals 7
Amelanchier canadensis,"6–11 mm long and 2–4 mm broad, and 20 stamens"
Amelanchier canadensis," 
The fruit is a pome, 7–10 mm diameter, dark purple when ripe; it is edible and sweet"
Amelanchier canadensis, Fruits become ripe in June and July in its native range
Amelanchier canadensis,"


== Uses ==
It is used as a medicinal plant, food, and ornamental plant"
Amelanchier canadensis, It is sometimes made into bonsai
Amelanchier canadensis,"


== References ==


== External links ==
Plants for a Future database
Evergreen"
Amelanchier canadensis,ca Native Plant Database Media related to Amelanchier canadensis at Wikimedia Commons
Asimina triloba,"Asimina triloba, the papaw, pawpaw, paw paw, or paw-paw, among many regional names, is a small deciduous tree native to the eastern United States and Canada, producing a large, yellowish-green to brown fruit"
Asimina triloba," It belongs to the genus Asimina in the same plant family (the Annonaceae) as the custard-apple, cherimoya, sweetsop, ylang-ylang and soursop"
Asimina triloba,"
The pawpaw is a patch-forming (clonal) understory tree found in well-drained, deep, fertile bottom-land and hilly upland habitat, with large, simple leaves"
Asimina triloba," Pawpaw fruits are the largest edible fruit indigenous to the United States (not counting gourds, which are typically considered vegetables rather than fruit for culinary purposes, although in botany they are classified as fruit)"
Asimina triloba,"Pawpaw fruits have a sweet, custardish flavor somewhat similar to banana, mango, and pineapple, and are commonly eaten raw, but are also used to make ice cream and baked desserts"
Asimina triloba,"


== Names ==
This plant's scientific name is Asimina triloba"
Asimina triloba, The genus name Asimina is adapted from the Native American (probably Miami-Illinois) name assimin or rassimin through the French colonial asiminier
Asimina triloba," The epithet triloba in the species' scientific name refers to the flowers' three-lobed calices and doubly three-lobed corollas, the shape not unlike a tricorne hat"
Asimina triloba,"
The common name of this species is variously spelled pawpaw, paw paw, paw-paw, and papaw"
Asimina triloba," It probably derives from the Spanish papaya, an American tropical and sub-tropical fruit (Carica papaya) sometimes also called ""papaw"", perhaps because of the superficial similarity of their fruits and the fact that both have very large leaves"
Asimina triloba," The name pawpaw or papaw, first recorded in print in English in 1598, originally meant the giant herb Carica papaya or its fruit (as it still commonly does in many English-speaking communities, including Australia, New Zealand, and South Africa)"
Asimina triloba, Daniel F
Asimina triloba," Austin's Florida Ethnobotany states that:

The original ""papaw"" "
Asimina triloba,
Asimina triloba,
Asimina triloba, is Carica papaya
Asimina triloba," By 1598, English-speaking people in the Caribbean were calling these plants ""pawpaws"" or ""papaws"" "
Asimina triloba,
Asimina triloba,
Asimina triloba," [yet later, when English-speakers settled in] the temperate Americas they found another tree with a similarly aromatic, sweet fruit"
Asimina triloba," It reminded them of the ""papaya"", which had already become ""papaw"", so that is what they called these different plants "
Asimina triloba,
Asimina triloba,
Asimina triloba,"  By 1760 the names ""papaw"" and ""pawpaw"" were being applied to A"
Asimina triloba, triloba
Asimina triloba,"
Yet Asimina triloba has had numerous local common names, many of which compare it to a banana rather than to pawpaw or papaya (i"
Asimina triloba,e
Asimina triloba, to Carica papaya)
Asimina triloba," These include: wild banana, prairie banana, Indiana banana, Hoosier banana, West Virginia banana, Kansas banana, Kentucky banana, Michigan banana, Missouri banana, Appalachian banana, Ozark banana, Indian banana, American custard apple, banango, the poor man's banana, as well as asimoya, Quaker delight and hillbilly mango"
Asimina triloba,"Several tribes of Native Americans have terms for the pawpaw such as riwahárikstikuc (Pawnee), tózhaⁿ hu (Kansa), and umbi (Choctaw)"
Asimina triloba,"


== Description ==

Asimina triloba is a large shrub or small tree growing to a height of 35 feet (11 m), rarely as tall as 45 feet (14 m), with trunks 8–12 inches (20–30 cm) or more in diameter"
Asimina triloba," The large leaves of pawpaw trees are clustered symmetrically at the ends of the branches, giving a distinctive imbricated appearance to the tree's foliage"
Asimina triloba,"The leaves of the species are simple, alternate and spirally arranged, entire, deciduous, obovate-lanceolate, 10–12 inches (25–30 cm) long, 4–5 inches (10–13 cm) broad, and wedge-shaped at the base, with an acute apex and an entire margin, with the midrib and primary veins prominent"
Asimina triloba," The petioles are short and stout, with a prominent adaxial groove"
Asimina triloba, Stipules are lacking
Asimina triloba," The expanding leaves are conduplicate, green, covered with rusty tomentum beneath, and hairy above; when fully grown they are smooth, dark green above, and paler beneath"
Asimina triloba," When bruised, the leaves have a disagreeable odor similar to a green bell pepper"
Asimina triloba," In autumn the leaves are a rusty yellow, allowing pawpaw groves to be spotted from a long distance"
Asimina triloba,"Pawpaw flowers are perfect, about 1–2 inches (3–5 cm) across, rich red-purple or maroon when mature, with three sepals and six petals"
Asimina triloba," They are borne singly on stout, hairy, axillary peduncles"
Asimina triloba," The flowers are produced in early spring at the same time as or slightly before the new leaves appear, and have a faint fetid or yeasty smell"
Asimina triloba,"

The fruit of the pawpaw is a large, yellowish-green to brown berry, 2–6 inches (5–15 cm) long and 1–3 inches (3–8 cm) broad, weighing from 0"
Asimina triloba,"7–18 ounces (20–510 g), containing several brown or black seeds 1⁄2–1 inch (15–25 mm) in diameter embedded in the soft, edible fruit pulp"
Asimina triloba," The conspicuous fruits begin developing after the plants flower; they are initially green, maturing by September or October to yellow or brown"
Asimina triloba," When mature, the heavy fruits bend the weak branches down"
Asimina triloba,"Other characteristics:

Calyx: Sepals three, valvate in bud, ovate, acuminate, pale green, downy"
Asimina triloba,"
Corolla: Petals six, in two rows, imbricate in the bud"
Asimina triloba," Inner row acute, erect, nectariferous"
Asimina triloba," Outer row broadly ovate, reflexed at maturity"
Asimina triloba," Petals at first are green, then brown, and finally become dull purple or maroon and conspicuously veiny"
Asimina triloba,"
Stamens: Indefinite, densely packed on the globular receptacle"
Asimina triloba," Filaments short; anthers extrorse, two-celled, opening longitudinally"
Asimina triloba,"
Pollen: shed as permanent tetrads"
Asimina triloba,"
Pistils: Several, on the summit of the receptacle, projecting from the mass of stamens"
Asimina triloba, Ovary one-celled; stigma sessile; ovules many
Asimina triloba,"
Branchlets: light brown, tinged with red, marked by shallow grooves"
Asimina triloba,"
Winter buds: Small, of two kinds, the leaf buds pointed and closely appressed to the twigs, and the flower buds round, brown, and fuzzy"
Asimina triloba,"
Bark: Light gray, sometimes blotched with lighter gray spots, sometimes covered with small excrescences, divided by shallow fissures"
Asimina triloba," Inner bark tough, fibrous"
Asimina triloba, The bark with a very disagreeable odor when bruised
Asimina triloba,"
Wood: Pale, greenish yellow, sapwood lighter; light, soft, coarse-grained and spongy with a specific gravity of  0"
Asimina triloba,3969 and a density of 24
Asimina triloba,74 pounds per cubic foot (396
Asimina triloba,3 kg/m3)
Asimina triloba,"
Longevity of fruit production: undetermined


== Range and ecology ==

Asimina triloba, the pawpaw, is native to the Eastern, Southern, and Midwestern United States and adjacent Ontario, Canada, from New York west to southeastern Nebraska, and south to northern Florida and eastern Texas"
Asimina triloba,"The tree commonly grows in floodplains and shady, rich bottomlands, where it often forms a dense, clonally spreading undergrowth in the forest, often appearing as a patch or thicket of individual small slender trees"
Asimina triloba," Pawpaws are not the first to colonize a disturbed site (arriving roughly four years after a clearcut), but may become dominant and slow the establishment of oaks and hickories"
Asimina triloba," Although shade-tolerant, pawpaws do not persist in undisturbed old growth forest"
Asimina triloba," Pawpaws spread locally primarily by root suckers; sexual reproduction by seed does also occur, but at a fairly low rate"
Asimina triloba,"Pawpaw flowers are insect-pollinated, but fruit production is sometimes limited as few if any pollinators are attracted to the flower's faint, or sometimes non-existent scent"
Asimina triloba, The flowers produce an odor similar to that of rotting meat to attract blowflies or carrion beetles for cross pollination
Asimina triloba," Other insects that are attracted to pawpaw flowers include scavenging fruit flies, carrion flies and beetles"
Asimina triloba," Because of irregular fruit production, some believe pawpaw plants are self-incompatible, requiring cross-pollination between trees of different clones (patches)"
Asimina triloba,"The fruits of the pawpaw are eaten by a variety of mammals, including raccoons, gray foxes, opossums, squirrels, and black bears"
Asimina triloba,"The disagreeable-smelling leaves, twigs, and bark of pawpaws contain natural insecticides known as acetogenins"
Asimina triloba," Pawpaw leaves and twigs are seldom consumed by rabbits, deer, or goats, or by many insects"
Asimina triloba," However, mules have been seen eating pawpaw leaves in Maryland"
Asimina triloba,"Larvae of the zebra swallowtail (Protographium marcellus), a butterfly, feed exclusively on young leaves of Asimina triloba and various other pawpaw (Asimina) species, but never occur in great numbers on the plants"
Asimina triloba," Chemicals in the pawpaw leaves confer protection from predation throughout the butterfly's life, as trace amounts of acetogenins remain present, making them unpalatable to birds and other predators"
Asimina triloba,"


== Conservation status ==
On a global (range-wide) scale, the common pawpaw (Asimina triloba) has a NatureServe global conservation rank of G5 (very common)"
Asimina triloba,"
In the United States, the species has a NatureServe national conservation rank of N5 (very common), but is considered a threatened species in New York, and an endangered species in New Jersey"
Asimina triloba,"
In Canada, where the species is found only in portions of southern Ontario, it has a NatureServe national conservation rank of N3 (vulnerable), and a NatureServe subnational conservation rank of S3 (vulnerable) in Ontario"
Asimina triloba," The Ontario Ministry of Natural Resources has given the species a general status of ""Sensitive"", and its populations there are monitored"
Asimina triloba,"
In areas in which deer populations are dense, pawpaws appear to be becoming more abundant locally, since the deer avoid them but consume seedlings of most other woody plants"
Asimina triloba,"


== History ==
The natural distribution of the common pawpaw (Asimina triloba) in North America, prior to the Ice Ages and lasting until roughly 10,000 years ago, was done by certain megafauna up until they became extinct during the Quaternary extinction event"
Asimina triloba,"  After the arrival of humans and the subsequent extinction of megafauna that were distributing Asimina triloba, the probable distribution of these large fruit-bearing plants has been by humans"
Asimina triloba,"The earliest documented mention of pawpaws is in the 1541 report of the Spanish de Soto expedition, who found Native Americans cultivating it east of the Mississippi River"
Asimina triloba, The Lewis and Clark Expedition consumed pawpaws during their travels
Asimina triloba," Chilled pawpaw fruit was a favorite dessert of George Washington, and Thomas Jefferson planted it at Monticello, his home in Virginia"
Asimina triloba,"


== Cultivation ==
In cultivation, lack of successful pollination is the most common cause of poor fruiting"
Asimina triloba, Cultivation is best in hardiness zones 5-9 and trees take 7-8 years from seedling to fruiting
Asimina triloba," Cross-pollination of at least two different genetic varieties of the plant is recommended, and growers often resort to hand pollination or to use of pollinator attractants such as spraying fish emulsion or hanging chicken necks or other meat near the open flowers to attract pollinators"
Asimina triloba," While pawpaws are larval hosts for the zebra swallowtail butterfly, these caterpillars are usually present only at low density, and not detrimental to the foliage of the trees"
Asimina triloba,"Pawpaws have never been cultivated for their fruits on the scale of apples or peaches, primarily because pawpaw fruits ripen to the point of fermentation soon after they are picked, and only frozen fruit will store or ship well"
Asimina triloba," Other methods of preservation include dehydration, production of jams or jellies, and pressure canning (using the numerical values for bananas)"
Asimina triloba,"
Cultivation of pawpaws for fruit production has attracted interest, particularly among organic growers, as a fruit with few to no pests that can successfully be grown in its native environment without pesticides"
Asimina triloba," The commercial cultivation and harvesting of pawpaws is strong in southeastern Ohio and also being explored in Kentucky and Maryland, as well as various areas outside the species' native range, including California, the Pacific Northwest, and Massachusetts"
Asimina triloba, Kentucky State University is the site of the USDA National Clonal Germplasm Repository for asimina species
Asimina triloba,"The pawpaw is also gaining in popularity among landscapers and backyard gardeners because of the tree's distinctive growth habit, the appeal of its fresh fruit, and its relatively low maintenance needs once established"
Asimina triloba,"


=== Propagation ===

Trees are easily grown from seed"
Asimina triloba, It is easiest to simply plant an entire fruit in the ground or place a seed in the ground immediately upon eating the fruit
Asimina triloba, Seeds should not be dried out as they will lose viability if they dehydrate to 5% moisture
Asimina triloba, The seeds need to be stratified by moist cold storage for 60-100 days at 35–45 °F (2–7 °C) (some publications suggest 90-120 days)
Asimina triloba, They will lose their viability if stored for 3 years or more; some seeds survive if stored for 2 years
Asimina triloba, Germination is hypogeal and cotyledons remain within the seed coat
Asimina triloba," Strictly speaking, hypogeal means the cotyledons stay in the soil, acting as a food store for the seedling until the plumule emerges from the soil on the epicotyl or true stem"
Asimina triloba," However, pawpaw seeds have occasionally been observed to emerge from the ground and form the true stem and plumule above ground"
Asimina triloba,"
Propagation using cuttings has generally not been successful"
Asimina triloba,Desirable cultivars are propagated by chip budding or whip grafting onto a root stock
Asimina triloba," Pawpaw seeds do not grow ""true to type"" — each individual seed in a fruit is genetically different from each other and from its parent tree"
Asimina triloba," Purchased cultivars do not produce seeds true to type, either, which is why cultivars are all grafted trees"
Asimina triloba," Root sucker seedlings, however, are all genetically identical to its host"
Asimina triloba,"Commercial nurseries usually ship seedlings in containers, usually grafted cultivars, but other nurseries such as the Kentucky Division of Forestry ship bareroot seedlings for reforestation projects and area homeowners"
Asimina triloba,"Harvesting seedlings from the forest floor is tricky because most forest-floor seedlings are actually root suckers with few roots, and those seedlings that did grow from a seed have deep taproots"
Asimina triloba,"Blowflies, such as C"
Asimina triloba," vomitoria, are known pollinators of these plants"
Asimina triloba," 


=== Cultivars ===
Over the years many cultivars of Asimina triloba have been developed or discovered"
Asimina triloba, Many have been lost and are no longer available commercially
Asimina triloba,"The named varieties producing large fruit and performing well in Kentucky per research trials are NC-1, Overleese, Potomac, Shenandoah, Sunflower, Susquehanna, Wabash, KSU-Atwood, KSU-Benson and KSY-Chappell"
Asimina triloba,"


=== Habitat restoration ===
Pawpaws are sometimes included in ecological restoration plantings since this tree grows well in wet soil and has a strong tendency to form well-rooted colonial thickets"
Asimina triloba,"


== Uses ==


=== Fruits ===
As described by horticulturist Barbara Damrosch, the fruit of the pawpaw ""looks a bit like mango, but with pale yellow, custardy, spoonable flesh and black, easy-to-remove seeds"
Asimina triloba,""" Wild-collected pawpaw fruits, ripe in late August to mid-September, have long been a favorite treat throughout the tree's extensive native range in eastern North America, and on occasion are sold locally at farmers' markets"
Asimina triloba," Pawpaw fruits have a sweet,  custard-like flavor somewhat similar to banana, mango, and cantaloupe, varying significantly by source or cultivar, with more protein than most fruits"
Asimina triloba, Nineteenth-century American agronomist E
Asimina triloba," Lewis Sturtevant described pawpaws as

"
Asimina triloba,
Asimina triloba,
Asimina triloba," a natural custard, too luscious for the relish of most people
Ohio botanist William B"
Asimina triloba," Werthner noted that 

The fruit "
Asimina triloba,
Asimina triloba,
Asimina triloba, has a tangy wild-wood flavor peculiarly its own
Asimina triloba," It is sweet, yet rather cloying to the taste and a wee bit puckery 
Fresh fruits of the pawpaw are commonly eaten raw, either chilled or at room temperature"
Asimina triloba," However, they can be kept only 2–3 days at room temperature, or about a week if refrigerated"
Asimina triloba, The easily bruised pawpaw fruits do not ship well unless frozen
Asimina triloba," Where pawpaws grow, the fruit pulp is also often used locally in baked dessert recipes, with pawpaw often substituted with volumetric equivalency in many banana-based recipes"
Asimina triloba, Pawpaws may also be blended into ice cream or included in pancakes
Asimina triloba,"Due to essential oils on leaves, bark, and the fruit skin, handling pawpaw may cause contact dermatitis and a skin rash in some people"
Asimina triloba,"


==== Nutrition ====
According to a report from the Kentucky State University Pawpaw Program (right table), raw pawpaw (with skin) in a 100 gram amount provides 80 Calories and is a rich source (20% or more of the Daily Value, DV) of vitamin C (22% DV), magnesium (32% DV), iron (54% DV) and manganese (124% DV)"
Asimina triloba, The fruit also contains a moderate amount (10–19% DV) of vitamin A (11% DV)
Asimina triloba,"


=== Phytochemicals ===

Phytochemical extracts of the leaves and fruit contain acetogenins, including the neurotoxin annonacin"
Asimina triloba," The seeds and bark contain the chemical asimitrin and other acetogenins, including asimin, asiminacin and asiminecin"
Asimina triloba,"


=== Effect on insects ===
Due to the presence of acetogenins, the leaves, twigs, and bark of pawpaw trees can be used to make an organic insecticide"
Asimina triloba," The one notable exception is the zebra swallowtail butterfly (Eurytides marcellus), whose larvae feed on the leaves of various species of Asimina, conferring protection from predation throughout the butterfly's life, as trace amounts of acetogenins remain present, making them unpalatable to birds and other predators"
Asimina triloba,"


=== Historical uses ===
The tough, fibrous inner bark of the pawpaw was used by Native Americans and settlers in the Midwest for making ropes, fishing nets, mats, and for stringing fish"
Asimina triloba,Pawpaw logs have been used for split-rail fences in Arkansas
Asimina triloba,"The hard, brown, shiny lima-bean-sized seeds were sometimes carried as pocket pieces in Ohio"
Asimina triloba,"


== Cultural significance ==


=== Old song ===
A traditional American folk song portrays wild harvesting of pawpaws; Arty Schronce of the Georgia Department of Agriculture gives these lyrics:

He notes that ""picking up pawpaws"" refers to gathering the ripe, fallen fruit from beneath the trees, and that the ""pocket"" in the song is that of an apron or similar tie-on pocket, not a modern pants or blue jeans pocket, into which pawpaws would hardly fit"
Asimina triloba," A ""pawpaw patch"" refers to the plant's characteristic patch-forming clonal growth habit"
Asimina triloba,"


=== Place names ===
The pawpaw (Asimina triloba) is the basis for various place and school names in the United States, almost all using the older spelling variant ""paw paw"""
Asimina triloba,"

The Paw Paw Tunnel in Maryland is a 3118-foot (950-m) canal tunnel completed in 1850 to bypass about five miles of the six-mile-long Paw Paw Bends of the Potomac River near the town of Paw Paw, West Virginia, all ultimately named after the pawpaw tree"
Asimina triloba,"
In Michigan, the Paw Paw River is named for the pawpaw trees that grew along its banks"
Asimina triloba, Paw Paw Lake and Little Paw Paw Lake are both tributaries to the river
Asimina triloba," The town of Paw Paw, Michigan is located at the juncture of two branches of the Paw Paw River"
Asimina triloba, The Paw Paw Railroad (1857–1887) operated a 4-mile (6
